group_name,canonical_name,category,input_name,match_type,confidence,parent_group,child_item,usage_context,cost_sensitivity,risk_type,business_note,oil_sensitive,,,,
หมู,สันนอกหมู,โปรตีน,สุกรชำแหละ เนื้อสัน สันนอก,alias,high,หมู,,อาหารจานหลัก,สูง,margin risk,นิยมใช้ทำหมูทอด/ย่าง/ปิ้งย่าง,,,,,"Group_name & canonical_name: แยกประเภทชัดเจน (หมู, ไก่, กุ้ง, ผัก, น้ำมัน, ข้าว) และใช้ชื่อเรียกมาตรฐาน"
หมู,สามชั้น,โปรตีน,สุกรชำแหละ เนื้อสามชั้น,alias,high,หมู,,อาหารจานหลัก,สูง,fat cost,ไขมันสูงกระทบต้นทุน,,,,,"category: ระบุประเภทการใช้งาน เช่น โปรตีน, ผักสด, เครื่องปรุง, คาร์โบไฮเดรต (ตามสีที่ใช้ในรูป)"
หมู,หมูเนื้อแดง,โปรตีน,สุกรชำแหละ เนื้อแดง สะโพก,alias,high,หมู,,อาหารจานหลัก,กลาง,volume cost,ใช้เยอะในเมนูทั่วไป,,,,,match_type & confidence: ระบุความแม่นยำในการจับคู่ข้อมูล เช่น exact สำหรับชื่อตรงเป๊ะ หรือ alias สำหรับชื่อเรียกแทน
หมู,หมูสับ,โปรตีน,หมูบด,alias,high,หมู,,อาหารจานหลัก,กลาง,volume cost,ใช้เยอะในเมนูทั่วไป,,,,,
ไก่,อกไก่,โปรตีน,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),exact,high,ไก่,,อาหารสุขภาพ,กลาง,margin risk,นิยมใช้ในเมนูคลีน,,,,,"risk_type & business_note: ใส่หมายเหตุเชิงธุรกิจที่สำคัญ เช่น ""margin risk"" สำหรับเนื้อสัตว์ที่ราคาแกว่ง หรือ ""fat cost"" สำหรับหมูสามชั้น"
ไก่,ปีกไก่,โปรตีน,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),alias,medium,ไก่,ปีกกลาง,ของทอด,สูง,volatility,ราคาขึ้นลงบ่อย,,,,,oil_sensitive: ใส่ Yes เฉพาะในกลุ่มน้ำมันและผลปาล์ม เพื่อให้คุณใช้เป็น Filter ในงานที่ Bangchak ได้ทันที
ไก่,ปีกไก่,โปรตีน,ไก่สดชำแหละ ปีกบน,alias,medium,ไก่,น่องเล็ก,ของทอด,สูง,volatility,ราคาขึ้นลงบ่อย,,,,,oil_sensitive: ใส่ Yes เฉพาะในกลุ่มน้ำมันและผลปาล์ม เพื่อให้คุณใช้เป็น Filter ในงานที่ Bangchak ได้ทันที
ไก่,สะโพก,โปรตีน,ไก่สดชำแหละ น่อง สะโพก,alias,medium,ไก่,น่องติดสะโพก,ของทอด,สูง,volatility,ราคาขึ้นลงบ่อย,,,,,oil_sensitive: ใส่ Yes เฉพาะในกลุ่มน้ำมันและผลปาล์ม เพื่อให้คุณใช้เป็น Filter ในงานที่ Bangchak ได้ทันที
ไก่,น่องไก่,โปรตีน,ไก่สดชำแหละ น่อง,alias,medium,ไก่,น่องไก่,ของทอด,สูง,volatility,ราคาขึ้นลงบ่อย,,,,,oil_sensitive: ใส่ Yes เฉพาะในกลุ่มน้ำมันและผลปาล์ม เพื่อให้คุณใช้เป็น Filter ในงานที่ Bangchak ได้ทันที
ไก่,หนังไก่,โปรตีน,ไก่สดชำแหละ หนัง,alias,medium,ไก่,หนังไก่,ของทอด,สูง,volatility,ราคาขึ้นลงบ่อย,,,,,oil_sensitive: ใส่ Yes เฉพาะในกลุ่มน้ำมันและผลปาล์ม เพื่อให้คุณใช้เป็น Filter ในงานที่ Bangchak ได้ทันที
กุ้ง,กุ้งขาว,โปรตีน,กุ้งขาว,category,medium,กุ้ง,กุ้งขาว|กุ้งแชบ๊วย,อาหารทะเล,สูง,price spike,ราคาผันผวนสูงตามฤดูกาล,,,,,
ผัก,คะน้า,ผักสด,ผักคะน้า,exact,high,ผักใบ,,อาหารจานหลัก,ต่ำ,seasonal,ราคาตามฤดูกาล,,,,,
ผัก,พริก,ผักสด,พริกขี้หนูจินดา (แดง),alias,high,เครื่องเทศ,,เครื่องปรุง,สูง,scarcity,ของขาดตลาดบ่อย,,,,,
น้ำมัน,น้ำมันปาล์ม,เครื่องปรุง,น้ำมันปาล์มสำเร็จรูป บรรจุขวด 1 ลิตร,brand,high,น้ำมันพืช,,ทอด/ผัด,สูง,global market,ราคาอิงตลาดโลก,Yes,,,,
ข้าว,ข้าวหอมมะลิ,คาร์โบไฮเดรต,ข้าวหอมมะลิ 100% ชั้น 1,exact,high,ข้าวสาร,ข้าวใหม่|ข้าวเก่า,อาหารจานหลัก,สูง,export price,อิงราคาตลาดส่งออก,,,,,
ไก่,ไก่มีชีวิต,โปรตีน,ไก่มีชีวิต (ซี.พี.),alias,high,ไก่/เป็ด,,วัตถุดิบหลัก,กลาง,market risk,ใช้เยอะในเมนูทั่วไป,,,,,
ไก่/เป็ด,ไข่ไก่,โปรตีน,ไข่ไก่ คละ,alias,high,ไก่/เป็ด,,วัตถุดิบหลัก,กลาง,market risk,ราคาขึ้นลงตามค่าอาหารสัตว์และสภาพอากาศ,,,,,
ไก่/เป็ด,ไข่เป็ด,โปรตีน,ไข่เป็ด ใหญ่,alias,high,ไก่/เป็ด,,วัตถุดิบหลัก,กลาง,market risk,ราคาขึ้นลงตามค่าอาหารสัตว์และสภาพอากาศ,,,,,
วัว,เนื้อน่อง,โปรตีน,เนื้อโค ส่วนน่อง,alias,high,วัว,,วัตถุดิบหลัก,กลาง,market risk,นิยมใช้ทำต้ม/ตุ๋น,,,,,
วัว,เนื้อสันนอก,โปรตีน,เนื้อโค สันนอก,alias,high,วัว,,วัตถุดิบหลัก,กลาง,market risk,นิยมใช้ทำทอด/ย่าง,,,,,
วัว,เนื้อสัันใน,โปรตีน,เนื้อโค สันใน,alias,high,วัว,,วัตถุดิบหลัก,กลาง,market risk,นิยมใช้ทำผัด,,,,,
ไก่/เป็ด,เป็ดสด,โปรตีน,เป็ดสด (ทั้งตัว) L,alias,high,ไก่/เป็ด,,วัตถุดิบหลัก,กลาง,market risk,นิยมใช้ทำพะโล้,,,,,
หมู,สุกรชำแหละ,โปรตีน,สุกรชำแหละ เนื้อสัน สันใน,alias,high,หมู,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ทะเล/ปลา,กุ้งก้ามกราม,โปรตีน,กุ้งก้ามกราม,alias,high,ทะเล/ปลา,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ทะเล/ปลา,ปลากระพงขาว,โปรตีน,ปลากระพงขาว,alias,high,ทะเล/ปลา,,วัตถุดิบหลัก,กลาง,market risk,ต้ม ทอด ย่าง,,,,,
ทะเล/ปลา,ปลาทูสด,โปรตีน,ปลาทูสด,alias,high,ทะเล/ปลา,,วัตถุดิบหลัก,กลาง,market risk,ต้ม ทอด ย่าง,,,,,
ทะเล/ปลา,หอยแครง,โปรตีน,หอยแครง คละ,alias,high,ทะเล/ปลา,,วัตถุดิบหลัก,กลาง,market risk,ต้มผัด,,,,,
ผัก,กะหล่ำปลี,ผักสด,กะหล่ำปลี,alias,high,ผัก,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผัก,ขึ้นฉ่าย,ทั่วไป,ขึ้นฉ่าย,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผัก,ถั่วฝักยาว,ทั่วไป,ถั่วฝักยาว,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผัก,มะเขือเทศสีดา,ทั่วไป,มะเขือเทศสีดา,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผัก,น้ำมันถั่วเหลือง,น้ำมันบริโภค,น้ำมันถั่วเหลือง องุ่น,alias,high,น้ำมัน,,วัตถุดิบหลัก,กลาง,market risk,-,Yes,,,,
ผัก,ผลปาล์มทะลาย,ทั่วไป,ผลปาล์มทะลาย,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,Yes,,,,
ผลไม้,มะพร้าวทับสะแก,ทั่วไป,มะพร้าวทับสะแก,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผลไม้,ส้มเขียวหวาน,ทั่วไป,ส้มเขียวหวาน สายน้ำผึ้ง,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ผลไม้,สับปะรด,ทั่วไป,สับปะรด ศรีราชา,alias,high,อื่นๆ,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ข้าว,ข้าวขาว,คาร์โบไฮเดรต,ข้าวขาว 5%,alias,high,ข้าว,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,
ข้าว,ข้าวหอมปทุมธานี,คาร์โบไฮเดรต,ข้าวหอมปทุมธานี,alias,high,ข้าว,,วัตถุดิบหลัก,กลาง,market risk,-,,,,,